abbr,r2,r
RELAFFIL,0.05168416240468199,-0.22734151051816734
CIP03ASSOC,0.05166733539659903,-0.2273044992880674
REGION,0.05141779198438158,-0.22675491611954432
CIP31BACHL,0.05138465816918384,0.2266818434925564
CIP16ASSOC,0.05070335259441595,-0.22517404955814946
CIP13CERT2,0.050302328732067955,-0.22428180651151344
DEP_INC_PCT_H1,0.04979254270620708,0.2231424269523998
INC_PCT_M2,0.048050399460201475,0.21920401333050787
VETERAN,0.04637710141254443,0.21535343371431168
CIP10CERT2,0.04512406092955851,-0.2124242475085142
D150_L4_HISP,0.04478160917760312,-0.2116166561913384
CIP41ASSOC,0.044683327723538314,-0.21138431286057704
TRANS_4,0.04415557210649152,-0.21013227288184821
IND_INC_AVG,0.04328171263660413,0.20804257409627513
FAMINC_IND,0.04328171263660413,0.20804257409627513
CIP23ASSOC,0.04198885962099601,-0.20491183377490918
CIP10CERT1,0.04195160363136616,-0.20482090623607288
CIP13CERT1,0.04186261747398782,-0.20460356173338679
CIP50CERT2,0.040908703212282745,-0.20225900032454117
PCIP48,0.040172489506205944,-0.2004307598803286
CIP45ASSOC,0.038720373041037114,-0.19677492990987727
HSI,0.03733994509130726,-0.19323546540764006
CIP51BACHL,0.0372612847465051,0.19303182314454034
CIP22CERT2,0.037240422355352895,-0.19297777684322331
CIP42ASSOC,0.03660802772311373,-0.19133224433720974
D_PCTPELL_PCTFLOAN,0.035894406220691254,-0.18945819122088983
UGDS_HISP,0.03535915826241744,-0.18804031020612957
LOCALE,0.03489774525214234,-0.18680938213093673
CIP44BACHL,0.034351915209269064,0.18534269667097505
CIP49CERT1,0.03290443146052696,-0.18139578677722082
CIP54ASSOC,0.032224631491135344,-0.17951220429579529
LATITUDE,0.03124022057958932,0.17674903275432463
UGDS_ASIAN,0.02967978871151374,0.17227823052119423
PCIP14,0.026140044063008364,0.16167882997785568
CIP04BACHL,0.025670953563429754,0.1602215764603187
PCIP19,0.025549934245575157,-0.15984346794778684
CIP05ASSOC,0.024951014167243622,-0.1579589002470061
PCIP43,0.024375510992050372,-0.15612658643565602
CIP31CERT1,0.02374686503548006,-0.15410017857056513
D150_4_HISP,0.02296386273023365,-0.15153832099582484
UGDS,0.02295035330351216,-0.15149374014629172
PCIP47,0.02165140032874913,-0.14714414812947585
CIP47CERT4,0.02133541823576021,-0.14606648566923286
WOMENONLY,0.021128887045322665,0.14535778976485114
D150_L4_ASIAN,0.021127021965509266,-0.14535137414386307
CIP39BACHL,0.020674295110858682,0.14378558728488292
CIP24CERT1,0.019518204998441896,-0.1397075695817585
D150_L4_AIAN,0.018988356538995416,-0.13779824577619054
PCIP51,0.018695362580331977,-0.13673098617479498
CIP22CERT1,0.01865749376746605,-0.13659243671399252
PCIP05,0.018151441876822928,0.13472728705359924
CIP41CERT2,0.017776763403728944,-0.13332952937638737
CIP31CERT2,0.01751247920736906,-0.13233472411793157
D150_L4_BLACK,0.016983383654283764,-0.13032031174872075
UGDS_UNKN,0.01687261485153067,0.12989462980250827
CIP44CERT1,0.016740918460186962,-0.12938670124934387
CIP04ASSOC,0.016738173536628702,-0.12937609337365502
CIP41CERT1,0.01612045581744978,-0.12696635702992262
D150_4_NRA,0.015530244989358214,0.12462040358367571
CIP49ASSOC,0.015283212202943234,-0.12362528949589252
CIP44CERT2,0.015270750322874742,-0.12357487739372733
PFTFAC,0.015154286524279022,0.12310274783399038
CIP16CERT2,0.014752036517196795,-0.12145796193414739
MARRIED,0.014723522255237351,-0.12134052190112482
CIP03CERT1,0.014630151279960923,-0.12095516227082218
CIP49CERT2,0.014316833172446395,-0.11965296976024621
CIP16CERT1,0.014288909866033492,-0.1195362282575182
PCIP46,0.014287194868452893,-0.11952905449493396
CIP09CERT2,0.013197436419844749,-0.1148800958384208
D150_4_AIAN,0.01275243181194417,-0.11292666563723631
CIP10BACHL,0.01265236324822883,0.11248272422122799
UGDS_AIAN,0.012585934190487796,-0.11218705001241362
CIP22BACHL,0.012228608988590767,0.11058304114370687
RET_PT4,0.012152068189534213,0.11023641952428523
UGDS_2MOR,0.010818084456729361,0.1040100209437983
PCIP31,0.010790217849125509,0.10387597339676538
CIP25ASSOC,0.010008504465259043,-0.10004251328939634
CIP43BACHL,0.009954029288652721,0.09976988167103698
CIP03CERT2,0.00911512030974577,-0.09547313920546328
PCIP15,0.00910110320988372,-0.09539970235741682
PCIP03,0.009094127316752916,0.09536313394993327
CIP46CERT4,0.009035539421203071,-0.09505545445266711
PBI,0.00874097456901002,-0.09349317926463951
PCIP04,0.00872840599376264,0.09342593854900597
CIP48CERT4,0.0086901624912268,-0.09322104103273467
D150_L4_NRA,0.008519631407832887,-0.09230184942802006
CIP12CERT4,0.008481904303050085,-0.09209725459018898
CIP23CERT1,0.008440165099137097,-0.09187037117121655
CIP09CERT1,0.00818285006443666,-0.0904591071392851
TRIBAL,0.008044979886375878,-0.08969381186222312
CIP25CERT1,0.007850398975988283,-0.08860247725649821
CIP11CERT4,0.007842770837468541,-0.08855941981217211
PCIP41,0.007840455893924583,-0.08854634884581399
CIP45CERT1,0.007732681218354026,-0.08793566522381022
PCIP38,0.007456956077886184,0.08635366858383137
CIP38ASSOC,0.007353282027976062,-0.08575128003695374
UGDS_WHITE,0.0072324111713060035,0.08504358395144224
DEP_INC_N,0.00696705688783403,-0.08346889772744115
D150_4_BLACK,0.006608031662380179,-0.08128980048185737
CIP14CERT2,0.006604904411184102,-0.08127056300521181
CIP30CERT2,0.006389532454450248,-0.07993455106804721
PCIP52,0.006187869326372824,0.07866301117026238
CIP14CERT1,0.00602155651124104,-0.0775986888500124
D150_L4_UNKN,0.0059475384244197715,-0.07712028542750456
D150_L4_NHPI,0.005827296865630693,-0.07633673339638455
D150_4_NHPI,0.005684661592756952,-0.0753966948397405
RET_FTL4,0.0054709810373637785,0.07396608031634351
CIP15CERT4,0.005085591873979885,-0.07131333587751933
PCIP01,0.005069198815407392,-0.0711983062678277
CIP50CERT4,0.004903947229372298,0.07002818881973386
CIP04CERT2,0.004787653770705652,-0.06919287369885466
CIP04CERT1,0.004717598803460985,-0.06868477854270905
PCIP39,0.00461690540979431,-0.06794781387060447
D100_4,0.004575950637737029,-0.06764577324369224
CIP26CERT1,0.004483203395872991,-0.06695672778648155
CIP45CERT2,0.004277108742564454,-0.06539960812240739
PCIP12,0.004195102880309998,-0.06476961386568549
PCIP25,0.00404298942722134,-0.06358450618838948
UGDS_BLACK,0.003979745236119917,-0.06308522201054631
ANNHI,0.003704997768377128,-0.060868692842684965
CIP12BACHL,0.0036264051386444376,0.06021964080467798
